ranking,tipo_ranking,equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
14,Ranking defensivo LaLiga,Alaves,N. Tenaglia,Defender,2519.0,28.0,28.0,1.0,0.0,1118.0,83.0,119.0,32.0,33.0,5.61,32.42,55.44,29.94,Sostén defensivo,"N. Tenaglia (Alaves) aparece como sostén defensivo, con índice total 29.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
15,Ranking defensivo LaLiga,Sevilla,José Ángel Carmona,Defender,2045.0,28.0,23.0,1.0,3.0,954.0,114.0,145.0,35.0,32.0,13.8,31.28,55.31,32.37,Sostén defensivo,"José Ángel Carmona (Sevilla) aparece como sostén defensivo, con índice total 32.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
16,Ranking defensivo LaLiga,Elche,Aleix Febas,Midfielder,2565.0,29.0,29.0,2.0,0.0,1595.0,145.0,195.0,37.0,21.0,13.39,59.45,54.84,41.94,Progresor / conector,"Aleix Febas (Elche) aparece como progresor / conector, con índice total 41.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
17,Ranking defensivo LaLiga,Rayo Vallecano,A. Rațiu,Defender,2313.0,27.0,26.0,0.0,3.0,1092.0,130.0,132.0,30.0,33.0,20.14,43.65,54.12,38.56,Sostén defensivo,"A. Rațiu (Rayo Vallecano) aparece como sostén defensivo, con índice total 38.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
18,Ranking defensivo LaLiga,Osasuna,Alejandro Catena,Defender,2443.0,28.0,28.0,2.0,1.0,1336.0,90.0,112.0,24.0,30.0,10.01,35.32,54.02,32.07,Sostén defensivo,"Alejandro Catena (Osasuna) aparece como sostén defensivo, con índice total 32.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
19,Ranking defensivo LaLiga,Getafe,M. Arambarri,Midfielder,2634.0,30.0,30.0,6.0,1.0,633.0,123.0,181.0,39.0,21.0,24.5,23.46,53.29,32.77,Sostén defensivo,"M. Arambarri (Getafe) aparece como sostén defensivo, con índice total 32.77. Su perfil permite valorar impacto individual dentro del modelo colectivo."
20,Ranking defensivo LaLiga,Levante,Manu Sánchez,Defender,2267.0,26.0,25.0,1.0,1.0,718.0,87.0,113.0,47.0,29.0,9.96,24.21,53.24,27.93,Sostén defensivo,"Manu Sánchez (Levante) aparece como sostén defensivo, con índice total 27.93. Su perfil permite valorar impacto individual dentro del modelo colectivo."
21,Ranking defensivo LaLiga,Real sociedad,Sergio Gómez,Forward,2155.0,28.0,24.0,0.0,1.0,1236.0,121.0,113.0,45.0,25.0,11.15,44.03,52.25,34.99,Sostén defensivo,"Sergio Gómez (Real sociedad) aparece como sostén defensivo, con índice total 34.99. Su perfil permite valorar impacto individual dentro del modelo colectivo."
22,Ranking defensivo LaLiga,Athletic Club,Dani Vivian,Defender,2188.0,25.0,24.0,1.0,0.0,1130.0,110.0,90.0,31.0,29.0,5.64,35.27,51.49,29.77,Sostén defensivo,"Dani Vivian (Athletic Club) aparece como sostén defensivo, con índice total 29.77. Su perfil permite valorar impacto individual dentro del modelo colectivo."
23,Ranking defensivo LaLiga,Girona,Arnau Martínez,Defender,2028.0,27.0,25.0,1.0,1.0,1079.0,87.0,113.0,29.0,33.0,9.49,34.61,51.38,30.85,Sostén defensivo,"Arnau Martínez (Girona) aparece como sostén defensivo, con índice total 30.85. Su perfil permite valorar impacto individual dentro del modelo colectivo."
