equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Mallorca,Mateu Morey,Defender,625.0,Sí,Sostén defensivo,3.13,6.24,12.85,7.14,385,333,388,345,15,Mateu Morey (Mallorca) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 385 en el ranking global de LaLiga.
Girona,Y. Asprilla,Midfielder,605.0,Sí,Sostén defensivo,5.9,6.64,8.83,7.04,386,257,384,388,17,Y. Asprilla (Girona) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 386 en el ranking global de LaLiga.
Getafe,Alex Sancris,Forward,629.0,Sí,Sostén defensivo,5.86,6.8,8.69,7.04,386,258,381,391,15,Alex Sancris (Getafe) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 386 en el ranking global de LaLiga.
Athletic Club,Unai Gómez,Midfielder,621.0,Sí,Amenaza ofensiva,8.08,5.41,7.17,6.87,388,209,399,404,20,Unai Gómez (Athletic Club) aparece como amenaza ofensiva. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 388 en el ranking global de LaLiga.
Oviedo,L. Ilić,Midfielder,711.0,Sí,Sostén defensivo,4.54,6.95,9.37,6.83,389,293,379,384,22,L. Ilić (Oviedo) aparece como sostén defensivo. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 389 en el ranking global de LaLiga.
Getafe,L. Vázquez,Forward,784.0,Sí,Sostén defensivo,7.92,3.01,9.43,6.65,390,214,431,382,16,L. Vázquez (Getafe) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 390 en el ranking global de LaLiga.
Athletic Club,Íñigo Lekue,Defender,525.0,Sí,Sostén defensivo,0.77,8.24,10.1,6.18,391,402,362,374,21,Íñigo Lekue (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 391 en el ranking global de LaLiga.
Elche,Tete Morente,Forward,406.0,Sí,Sostén defensivo,3.28,5.44,9.61,5.94,392,328,398,380,19,Tete Morente (Elche) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 392 en el ranking global de LaLiga.
Villareal,T. Oluwaseyi,Forward,634.0,Sí,Amenaza ofensiva,8.01,3.4,6.19,5.85,393,212,430,415,22,T. Oluwaseyi (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 393 en el ranking global de LaLiga.
Elche,Héctor Fort,Defender,328.0,Sí,Sostén defensivo,6.45,4.57,6.63,5.84,394,242,419,411,20,Héctor Fort (Elche) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 394 en el ranking global de LaLiga.
Levante,José Luis Morales,Forward,322.0,Sí,Sostén defensivo,5.09,4.91,7.36,5.71,395,279,410,402,21,José Luis Morales (Levante) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 395 en el ranking global de LaLiga.
Levante,U. Raghouber,Midfielder,456.0,Sí,Sostén defensivo,0.63,5.38,11.62,5.59,396,407,400,354,22,U. Raghouber (Levante) aparece como sostén defensivo. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 396 en el ranking global de LaLiga.
Real sociedad,Aritz Elustondo,Defender,413.0,Sí,Sostén defensivo,1.1,6.38,9.88,5.58,397,387,385,377,21,Aritz Elustondo (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 397 en el ranking global de LaLiga.
Osasuna,Kike Barja,Forward,310.0,Sí,Amenaza ofensiva,8.71,3.83,3.96,5.58,397,189,425,432,17,Kike Barja (Osasuna) aparece como amenaza ofensiva. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 397 en el ranking global de LaLiga.
Celta,J. Aidoo,Defender,549.0,Sí,Sostén defensivo,0.12,5.83,11.62,5.57,399,426,394,354,24,J. Aidoo (Celta) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 399 en el ranking global de LaLiga.
Elche,John Donald,Defender,450.0,Sí,Sostén defensivo,2.34,5.16,9.75,5.55,400,354,403,378,21,John Donald (Elche) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 400 en el ranking global de LaLiga.
Betis,C. Bakambu,Forward,427.0,Sí,Amenaza ofensiva,9.34,2.79,4.3,5.54,401,181,435,431,22,C. Bakambu (Betis) aparece como amenaza ofensiva. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 401 en el ranking global de LaLiga.
Mallorca,Toni Lato,Defender,468.0,Sí,Sostén defensivo,3.35,4.95,8.74,5.53,402,323,408,389,16,Toni Lato (Mallorca) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 402 en el ranking global de LaLiga.
Rayo Vallecano,Alemão,Forward,788.0,Sí,Amenaza ofensiva,6.41,4.3,5.9,5.52,403,244,421,418,17,Alemão (Rayo Vallecano) aparece como amenaza ofensiva. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 403 en el ranking global de LaLiga.
Barcelona,A. Christensen,Defender,373.0,Sí,Progresor / conector,0.4,8.86,7.21,5.41,404,416,346,403,22,A. Christensen (Barcelona) aparece como progresor / conector. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 404 en el ranking global de LaLiga.
Espanyol,C. Pickel,Midfielder,544.0,Sí,Sostén defensivo,3.34,4.65,8.58,5.37,405,325,415,392,18,C. Pickel (Espanyol) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 405 en el ranking global de LaLiga.
Rayo Vallecano,Luiz Felipe,Defender,470.0,Sí,Sostén defensivo,0.89,4.59,11.39,5.34,406,395,418,357,18,Luiz Felipe (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 406 en el ranking global de LaLiga.
Real sociedad,A. Zakharyan,Midfielder,391.0,Sí,Progresor / conector,3.84,8.01,3.93,5.33,407,310,363,433,22,A. Zakharyan (Real sociedad) aparece como progresor / conector. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 407 en el ranking global de LaLiga.
Betis,Álvaro Fidalgo,Midfielder,447.0,Sí,Progresor / conector,2.95,7.12,5.78,5.26,408,340,376,420,23,Álvaro Fidalgo (Betis) aparece como progresor / conector. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 408 en el ranking global de LaLiga.
Getafe,Davinchi,Defender,429.0,Sí,Sostén defensivo,1.29,4.71,10.25,5.18,409,380,414,371,17,Davinchi (Getafe) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 409 en el ranking global de LaLiga.
Getafe,Javi Muñoz,Midfielder,486.0,Sí,Sostén defensivo,4.17,4.61,7.02,5.18,409,299,417,408,17,Javi Muñoz (Getafe) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 409 en el ranking global de LaLiga.
Athletic Club,Nico Serrano,Forward,328.0,Sí,Sostén defensivo,4.61,5.0,5.81,5.11,411,290,406,419,22,Nico Serrano (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 411 en el ranking global de LaLiga.
Mallorca,David López,Defender,479.0,Sí,Sostén defensivo,0.42,5.17,10.47,5.1,412,415,402,367,17,David López (Mallorca) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 412 en el ranking global de LaLiga.
Osasuna,Raúl Moro,Forward,340.0,Sí,Amenaza ofensiva,6.84,5.14,2.83,5.05,413,235,404,443,18,Raúl Moro (Osasuna) aparece como amenaza ofensiva. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 413 en el ranking global de LaLiga.
Betis,Pablo García,Forward,378.0,Sí,Sostén defensivo,3.23,4.17,7.9,4.96,414,330,422,399,24,Pablo García (Betis) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 414 en el ranking global de LaLiga.
Real sociedad,O. Óskarsson,Forward,310.0,Sí,Amenaza ofensiva,8.72,2.04,3.93,4.94,415,188,442,433,23,O. Óskarsson (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 415 en el ranking global de LaLiga.
Mallorca,M. Kumbulla,Defender,420.0,Sí,Progresor / conector,0.46,8.79,5.42,4.86,416,411,348,421,18,M. Kumbulla (Mallorca) aparece como progresor / conector. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 416 en el ranking global de LaLiga.
Getafe,Coba da Costa,Forward,339.0,Sí,Sostén defensivo,2.11,4.85,8.02,4.84,417,368,411,397,19,Coba da Costa (Getafe) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 417 en el ranking global de LaLiga.
Villareal,Alfon González,Forward,387.0,Sí,Amenaza ofensiva,6.95,3.9,3.43,4.83,418,233,424,436,23,Alfon González (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 418 en el ranking global de LaLiga.
Sevilla,A. Januzaj,Midfielder,315.0,Sí,Sostén defensivo,2.94,5.49,6.12,4.78,419,341,396,416,22,A. Januzaj (Sevilla) aparece como sostén defensivo. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 419 en el ranking global de LaLiga.
Real sociedad,Y. Herrera,Midfielder,417.0,Sí,Sostén defensivo,0.84,4.85,8.97,4.69,420,396,411,385,24,Y. Herrera (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 420 en el ranking global de LaLiga.
Girona,Y. Herrera,Midfielder,417.0,Sí,Sostén defensivo,0.84,4.85,8.97,4.69,420,396,411,385,18,Y. Herrera (Girona) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 420 en el ranking global de LaLiga.
Atletico Madrid,A. Lookman,Forward,337.0,Sí,Amenaza ofensiva,6.16,3.64,3.43,4.46,422,249,427,436,23,A. Lookman (Atletico Madrid) aparece como amenaza ofensiva. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 422 en el ranking global de LaLiga.
Rayo Vallecano,I. Balliu,Defender,327.0,Sí,Sostén defensivo,0.63,5.91,7.12,4.42,423,407,393,405,19,I. Balliu (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 423 en el ranking global de LaLiga.
Levante,Diego Pampín,Defender,367.0,Sí,Sostén defensivo,0.92,4.63,8.04,4.35,424,393,416,396,23,Diego Pampín (Levante) aparece como sostén defensivo. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 424 en el ranking global de LaLiga.
Sevilla,Alfon González,Forward,367.0,Sí,Amenaza ofensiva,6.6,2.95,3.34,4.35,424,239,432,441,23,Alfon González (Sevilla) aparece como amenaza ofensiva. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 424 en el ranking global de LaLiga.
Rayo Vallecano,Sergio Camello,Forward,469.0,Sí,Sostén defensivo,4.1,3.78,5.26,4.34,426,301,426,423,20,Sergio Camello (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 426 en el ranking global de LaLiga.
Osasuna,Juan Cruz,Defender,601.0,Sí,Sostén defensivo,0.51,6.22,6.6,4.33,427,410,389,412,19,Juan Cruz (Osasuna) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 427 en el ranking global de LaLiga.
Betis,Pau López,Goalkeeper,810.0,Sí,Progresor / conector,0.0,6.78,6.51,4.32,428,429,383,413,25,Pau López (Betis) aparece como progresor / conector. Ocupa el puesto 25 dentro de su equipo por índice total y el puesto 428 en el ranking global de LaLiga.
Mallorca,L. Bergström,Goalkeeper,450.0,Sí,Progresor / conector,0.0,7.17,5.91,4.28,429,429,375,417,19,L. Bergström (Mallorca) aparece como progresor / conector. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 429 en el ranking global de LaLiga.
Betis,C. Ávila,Forward,347.0,Sí,Sostén defensivo,4.55,2.91,4.92,4.09,430,292,433,426,26,C. Ávila (Betis) aparece como sostén defensivo. Ocupa el puesto 26 dentro de su equipo por índice total y el puesto 430 en el ranking global de LaLiga.
Levante,Paco Cortés,Forward,411.0,Sí,Sostén defensivo,3.25,4.16,4.86,4.05,431,329,423,427,24,Paco Cortés (Levante) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 431 en el ranking global de LaLiga.
Celta,Yoel Lago,Defender,337.0,Sí,Sostén defensivo,0.4,5.02,7.06,4.01,432,416,405,406,25,Yoel Lago (Celta) aparece como sostén defensivo. Ocupa el puesto 25 dentro de su equipo por índice total y el puesto 432 en el ranking global de LaLiga.
Elche,L. Cepeda,Forward,339.0,Sí,Progresor / conector,2.36,4.94,4.6,3.94,433,353,409,430,22,L. Cepeda (Elche) aparece como progresor / conector. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 433 en el ranking global de LaLiga.
Girona,J. Solís,Midfielder,374.0,Sí,Sostén defensivo,1.14,4.36,6.65,3.92,434,385,420,410,19,J. Solís (Girona) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 434 en el ranking global de LaLiga.
Mallorca,T. Asano,Forward,479.0,Sí,Sostén defensivo,3.74,2.68,5.06,3.76,435,314,439,424,20,T. Asano (Mallorca) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 435 en el ranking global de LaLiga.
Girona,Portu,Forward,473.0,Sí,Amenaza ofensiva,3.83,2.0,3.35,3.04,436,311,443,440,20,Portu (Girona) aparece como amenaza ofensiva. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 436 en el ranking global de LaLiga.
Sevilla,N. Maupay,Forward,454.0,Sí,Sostén defensivo,2.88,2.77,3.37,2.99,437,345,438,439,24,N. Maupay (Sevilla) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 437 en el ranking global de LaLiga.
Rayo Vallecano,Carlos Martín,Forward,312.0,Sí,Sostén defensivo,1.25,2.79,4.85,2.87,438,382,435,428,21,Carlos Martín (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 438 en el ranking global de LaLiga.
Atletico Madrid,Carlos Martín,Forward,312.0,Sí,Sostén defensivo,1.25,2.79,4.85,2.87,438,382,435,428,24,Carlos Martín (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 438 en el ranking global de LaLiga.
Barcelona,W. Szczęsny,Goalkeeper,540.0,Sí,Sostén defensivo,0.0,3.57,4.96,2.74,440,429,429,425,23,W. Szczęsny (Barcelona) aparece como sostén defensivo. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 440 en el ranking global de LaLiga.
Levante,Jorge Cabello,Defender,364.0,Sí,Sostén defensivo,0.0,2.56,5.3,2.49,441,429,441,422,25,Jorge Cabello (Levante) aparece como sostén defensivo. Ocupa el puesto 25 dentro de su equipo por índice total y el puesto 441 en el ranking global de LaLiga.
Sevilla,Ø. Nyland,Goalkeeper,360.0,Sí,Progresor / conector,0.0,3.58,3.06,2.17,442,429,428,442,25,Ø. Nyland (Sevilla) aparece como progresor / conector. Ocupa el puesto 25 dentro de su equipo por índice total y el puesto 442 en el ranking global de LaLiga.
Atletico Madrid,J. Musso,Goalkeeper,360.0,Sí,Sostén defensivo,0.0,2.6,3.43,1.94,443,429,440,436,25,J. Musso (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 25 dentro de su equipo por índice total y el puesto 443 en el ranking global de LaLiga.
