equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Oviedo,R. Alhassane,Defender,1444.0,Sí,Sostén defensivo,3.61,18.38,33.33,17.69,217,319,212,112,10,R. Alhassane (Oviedo) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 217 en el ranking global de LaLiga.
Real Madrid,Éder Militão,Defender,1033.0,Sí,Sostén defensivo,11.39,18.32,23.69,17.5,218,150,215,206,10,Éder Militão (Real Madrid) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 218 en el ranking global de LaLiga.
Villareal,Gerard Moreno,Forward,950.0,Sí,Amenaza ofensiva,22.59,17.21,11.24,17.3,219,70,231,361,15,Gerard Moreno (Villareal) aparece como amenaza ofensiva. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 219 en el ranking global de LaLiga.
Elche,Martim Neto,Midfielder,1181.0,Sí,Amenaza ofensiva,19.9,16.78,14.31,17.13,220,80,237,321,10,Martim Neto (Elche) aparece como amenaza ofensiva. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 220 en el ranking global de LaLiga.
Girona,P. Gazzaniga,Goalkeeper,2383.0,Sí,Progresor / conector,0.0,27.67,24.43,17.01,221,429,119,198,11,P. Gazzaniga (Girona) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 221 en el ranking global de LaLiga.
Oviedo,Javi López,Defender,1261.0,Sí,Sostén defensivo,5.73,17.78,29.21,16.99,222,263,224,144,11,Javi López (Oviedo) aparece como sostén defensivo. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 222 en el ranking global de LaLiga.
Mallorca,Jan Virgili,Forward,1475.0,Sí,Sostén defensivo,17.21,14.93,19.1,16.98,223,97,262,245,11,Jan Virgili (Mallorca) aparece como sostén defensivo. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 223 en el ranking global de LaLiga.
Atletico Madrid,Robin Le Normand,Defender,1419.0,Sí,Sostén defensivo,2.25,23.48,26.16,16.86,224,361,156,178,15,Robin Le Normand (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 224 en el ranking global de LaLiga.
Real Madrid,Raúl Asencio,Defender,1346.0,Sí,Progresor / conector,6.17,25.14,19.62,16.85,225,248,139,237,11,Raúl Asencio (Real Madrid) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 225 en el ranking global de LaLiga.
Celta,Ferran Jutglà,Forward,1255.0,Sí,Amenaza ofensiva,27.24,9.95,12.77,16.85,225,51,329,346,11,Ferran Jutglà (Celta) aparece como amenaza ofensiva. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 225 en el ranking global de LaLiga.
Atletico Madrid,C. Lenglet,Defender,998.0,Sí,Progresor / conector,3.88,28.71,18.05,16.82,227,307,105,261,16,C. Lenglet (Atletico Madrid) aparece como progresor / conector. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 227 en el ranking global de LaLiga.
Mallorca,Leo Román,Goalkeeper,2250.0,Sí,Progresor / conector,0.0,32.68,17.87,16.8,228,429,69,264,12,Leo Román (Mallorca) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 228 en el ranking global de LaLiga.
Rayo Vallecano,P. Espino,Defender,1053.0,Sí,Sostén defensivo,8.69,15.6,27.58,16.77,229,190,256,161,11,P. Espino (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 229 en el ranking global de LaLiga.
Elche,André Silva,Forward,1305.0,Sí,Amenaza ofensiva,24.76,12.4,12.52,16.76,230,59,289,348,11,André Silva (Elche) aparece como amenaza ofensiva. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 230 en el ranking global de LaLiga.
Atletico Madrid,J. Giménez,Defender,1157.0,Sí,Sostén defensivo,4.74,19.93,27.03,16.74,231,287,200,166,17,J. Giménez (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 231 en el ranking global de LaLiga.
Barcelona,R. Lewandowski,Forward,1198.0,Sí,Amenaza ofensiva,32.63,7.92,8.32,16.69,232,29,364,394,14,R. Lewandowski (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 232 en el ranking global de LaLiga.
Levante,Jon Olasagasti,Midfielder,1060.0,Sí,Sostén defensivo,13.08,16.86,20.58,16.65,233,130,236,230,9,Jon Olasagasti (Levante) aparece como sostén defensivo. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 233 en el ranking global de LaLiga.
Elche,M. Dituro,Goalkeeper,1260.0,Sí,Progresor / conector,0.45,32.36,17.08,16.61,234,412,71,272,12,M. Dituro (Elche) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 234 en el ranking global de LaLiga.
Sevilla,R. Vargas,Midfielder,1074.0,Sí,Amenaza ofensiva,19.21,14.25,16.3,16.6,235,83,270,280,10,R. Vargas (Sevilla) aparece como amenaza ofensiva. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 235 en el ranking global de LaLiga.
Real Madrid,Rodrygo,Forward,676.0,Sí,Amenaza ofensiva,19.69,16.32,12.91,16.48,236,81,245,344,12,Rodrygo (Real Madrid) aparece como amenaza ofensiva. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 236 en el ranking global de LaLiga.
Girona,Fran Beltrán,Midfielder,1214.0,Sí,Progresor / conector,5.14,24.75,20.06,16.48,236,276,142,232,12,Fran Beltrán (Girona) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 236 en el ranking global de LaLiga.
Mallorca,Pablo Torre,Midfielder,1043.0,Sí,Amenaza ofensiva,16.92,16.51,15.31,16.3,238,99,239,300,13,Pablo Torre (Mallorca) aparece como amenaza ofensiva. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 238 en el ranking global de LaLiga.
Levante,K. Arriaga,Midfielder,1149.0,Sí,Sostén defensivo,6.02,15.89,28.39,16.18,239,252,253,151,10,K. Arriaga (Levante) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 239 en el ranking global de LaLiga.
Celta,Bryan Zaragoza,Forward,1135.0,Sí,Progresor / conector,15.49,21.16,11.08,16.15,240,111,185,364,12,Bryan Zaragoza (Celta) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 240 en el ranking global de LaLiga.
Rayo Vallecano,N. Mendy,Defender,1423.0,Sí,Sostén defensivo,4.88,16.95,28.05,16.05,241,284,234,155,12,N. Mendy (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 241 en el ranking global de LaLiga.
Levante,Pablo Martínez,Midfielder,1249.0,Sí,Sostén defensivo,10.5,18.32,19.83,16.04,242,161,215,233,11,Pablo Martínez (Levante) aparece como sostén defensivo. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 242 en el ranking global de LaLiga.
Celta,C. Starfelt,Defender,1492.0,Sí,Sostén defensivo,0.83,18.0,31.37,16.0,243,398,221,128,13,C. Starfelt (Celta) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 243 en el ranking global de LaLiga.
Atletico Madrid,Marc Pubill,Defender,842.0,Sí,Sostén defensivo,4.16,20.26,24.25,15.82,244,300,197,201,18,Marc Pubill (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 244 en el ranking global de LaLiga.
Osasuna,Abel Bretones,Defender,1427.0,Sí,Sostén defensivo,5.38,17.18,25.88,15.66,245,269,232,182,12,Abel Bretones (Osasuna) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 245 en el ranking global de LaLiga.
Valencia,Hugo Duro,Forward,1618.0,Sí,Amenaza ofensiva,23.45,6.97,16.61,15.63,246,67,378,277,9,Hugo Duro (Valencia) aparece como amenaza ofensiva. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 246 en el ranking global de LaLiga.
