equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
Sevilla,Adrià Pedrosa,Defender,867.0,21.0,6.0,1.0,0.0,359.0,33.0,50.0,14.0,10.0,8.32,11.93,19.44,12.92,Rotación / impacto bajo,"Adrià Pedrosa (Sevilla) aparece como rotación / impacto bajo, con índice total 12.92. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Oso,Defender,870.0,13.0,8.0,1.0,2.0,294.0,36.0,45.0,13.0,4.0,12.07,12.29,14.45,12.86,Rotación / impacto bajo,"Oso (Sevilla) aparece como rotación / impacto bajo, con índice total 12.86. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,João Cancelo,Defender,525.0,8.0,6.0,1.0,2.0,303.0,36.0,39.0,11.0,10.0,10.04,12.83,16.01,12.81,Rotación / impacto bajo,"João Cancelo (Barcelona) aparece como rotación / impacto bajo, con índice total 12.81. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,A. Abqar,Defender,1005.0,16.0,12.0,0.0,1.0,313.0,35.0,77.0,17.0,15.0,3.85,9.56,26.88,12.76,Rotación / impacto bajo,"A. Abqar (Getafe) aparece como rotación / impacto bajo, con índice total 12.76. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Fran Pérez,Midfielder,1090.0,25.0,10.0,2.0,1.0,269.0,73.0,41.0,10.0,2.0,12.36,11.03,14.93,12.67,Rotación / impacto bajo,"Fran Pérez (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 12.67. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Isaac Romero,Forward,1095.0,22.0,12.0,4.0,0.0,237.0,40.0,54.0,6.0,3.0,15.89,8.65,13.12,12.52,Rotación / impacto bajo,"Isaac Romero (Sevilla) aparece como rotación / impacto bajo, con índice total 12.52. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,J. Cardoso,Midfielder,770.0,13.0,11.0,0.0,0.0,460.0,37.0,59.0,18.0,12.0,0.97,15.67,21.79,12.36,Rotación / impacto bajo,"J. Cardoso (Atletico Madrid) aparece como rotación / impacto bajo, con índice total 12.36. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Alejandro Rego,Midfielder,826.0,21.0,7.0,1.0,0.0,368.0,53.0,48.0,15.0,16.0,4.68,11.12,22.5,12.28,Rotación / impacto bajo,"Alejandro Rego (Athletic Club) aparece como rotación / impacto bajo, con índice total 12.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Z. Romero,Defender,900.0,10.0,10.0,0.0,0.0,272.0,50.0,48.0,13.0,22.0,0.76,10.19,28.06,12.25,Rotación / impacto bajo,"Z. Romero (Getafe) aparece como rotación / impacto bajo, con índice total 12.25. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,C. Ejuke,Forward,688.0,22.0,4.0,1.0,1.0,273.0,39.0,74.0,9.0,4.0,8.35,12.65,15.61,12.04,Rotación / impacto bajo,"C. Ejuke (Sevilla) aparece como rotación / impacto bajo, con índice total 12.04. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Marc Casadó,Midfielder,860.0,19.0,9.0,0.0,0.0,782.0,37.0,41.0,8.0,7.0,2.25,20.12,13.52,11.89,Rotación / impacto bajo,"Marc Casadó (Barcelona) aparece como rotación / impacto bajo, con índice total 11.89. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Oviedo,K. Sibo,Midfielder,1376.0,21.0,17.0,0.0,0.0,561.0,67.0,48.0,17.0,12.0,1.59,11.67,23.85,11.8,Rotación / impacto bajo,"K. Sibo (Oviedo) aparece como rotación / impacto bajo, con índice total 11.80. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Diego Llorente,Defender,718.0,12.0,9.0,1.0,0.0,462.0,33.0,44.0,8.0,17.0,2.28,11.92,22.15,11.62,Rotación / impacto bajo,"Diego Llorente (Betis) aparece como rotación / impacto bajo, con índice total 11.62. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,R. Rodríguez,Defender,1205.0,18.0,14.0,0.0,1.0,487.0,33.0,33.0,6.0,6.0,3.51,16.45,15.37,11.6,Rotación / impacto bajo,"R. Rodríguez (Betis) aparece como rotación / impacto bajo, con índice total 11.60. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,D. Foulquier,Defender,1148.0,15.0,12.0,0.0,0.0,518.0,55.0,43.0,9.0,8.0,2.31,14.69,18.82,11.6,Rotación / impacto bajo,"D. Foulquier (Valencia) aparece como rotación / impacto bajo, con índice total 11.60. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Álvaro Valles,Goalkeeper,1890.0,21.0,21.0,0.0,0.0,658.0,158.0,10.0,0.0,0.0,0.0,18.19,17.0,11.46,Rotación / impacto bajo,"Álvaro Valles (Betis) aparece como rotación / impacto bajo, con índice total 11.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,S. Amrabat,Midfielder,782.0,10.0,8.0,0.0,0.0,590.0,62.0,35.0,9.0,6.0,1.61,17.68,15.38,11.37,Rotación / impacto bajo,"S. Amrabat (Betis) aparece como rotación / impacto bajo, con índice total 11.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,Pablo Durán,Forward,1108.0,23.0,13.0,2.0,1.0,272.0,36.0,34.0,9.0,3.0,13.59,8.74,11.74,11.34,Rotación / impacto bajo,"Pablo Durán (Celta) aparece como rotación / impacto bajo, con índice total 11.34. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Marcão,Defender,937.0,13.0,11.0,0.0,0.0,466.0,32.0,62.0,5.0,5.0,1.75,15.33,17.41,11.2,Rotación / impacto bajo,"Marcão (Sevilla) aparece como rotación / impacto bajo, con índice total 11.20. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Oriol Rey,Midfielder,1184.0,18.0,13.0,0.0,0.0,479.0,50.0,40.0,11.0,8.0,2.4,14.0,18.06,11.16,Rotación / impacto bajo,"Oriol Rey (Levante) aparece como rotación / impacto bajo, con índice total 11.16. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,Alejandro Francés,Defender,630.0,18.0,6.0,0.0,0.0,409.0,25.0,38.0,9.0,8.0,3.35,15.25,15.45,11.15,Rotación / impacto bajo,"Alejandro Francés (Girona) aparece como rotación / impacto bajo, con índice total 11.15. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Calebe,Midfielder,721.0,17.0,13.0,0.0,0.0,297.0,51.0,61.0,14.0,6.0,4.08,12.08,17.97,11.05,Rotación / impacto bajo,"Calebe (Alaves) aparece como rotación / impacto bajo, con índice total 11.05. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,B. Santamaría,Midfielder,744.0,19.0,7.0,1.0,1.0,405.0,43.0,46.0,5.0,7.0,5.75,12.17,15.42,10.9,Rotación / impacto bajo,"B. Santamaría (Valencia) aparece como rotación / impacto bajo, con índice total 10.90. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,T. Partey,Midfielder,748.0,19.0,7.0,0.0,0.0,429.0,38.0,40.0,4.0,12.0,1.9,16.41,14.92,10.89,Rotación / impacto bajo,"T. Partey (Villareal) aparece como rotación / impacto bajo, con índice total 10.89. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Andoni Gorosabel,Defender,816.0,16.0,10.0,0.0,1.0,331.0,26.0,51.0,17.0,7.0,5.33,9.86,18.45,10.85,Rotación / impacto bajo,"Andoni Gorosabel (Athletic Club) aparece como rotación / impacto bajo, con índice total 10.85. Su perfil permite valorar impacto individual dentro del modelo colectivo."
