equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
Getafe,Alex Sancris,Forward,629.0,15.0,5.0,0.0,1.0,167.0,38.0,26.0,5.0,2.0,5.86,6.8,8.69,7.04,Rotación / impacto bajo,"Alex Sancris (Getafe) aparece como rotación / impacto bajo, con índice total 7.04. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Unai Gómez,Midfielder,621.0,20.0,7.0,1.0,1.0,167.0,26.0,28.0,5.0,0.0,8.08,5.41,7.17,6.87,Rotación / impacto bajo,"Unai Gómez (Athletic Club) aparece como rotación / impacto bajo, con índice total 6.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Oviedo,L. Ilić,Midfielder,711.0,18.0,8.0,1.0,0.0,226.0,30.0,26.0,4.0,5.0,4.54,6.95,9.37,6.83,Rotación / impacto bajo,"L. Ilić (Oviedo) aparece como rotación / impacto bajo, con índice total 6.83. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,L. Vázquez,Forward,784.0,10.0,10.0,3.0,0.0,120.0,15.0,48.0,3.0,4.0,7.92,3.01,9.43,6.65,Rotación / impacto bajo,"L. Vázquez (Getafe) aparece como rotación / impacto bajo, con índice total 6.65. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Íñigo Lekue,Defender,525.0,9.0,7.0,0.0,0.0,222.0,30.0,19.0,9.0,3.0,0.77,8.24,10.1,6.18,Rotación / impacto bajo,"Íñigo Lekue (Athletic Club) aparece como rotación / impacto bajo, con índice total 6.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Tete Morente,Forward,406.0,5.0,5.0,1.0,0.0,133.0,26.0,29.0,7.0,3.0,3.28,5.44,9.61,5.94,Rotación / impacto bajo,"Tete Morente (Elche) aparece como rotación / impacto bajo, con índice total 5.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,T. Oluwaseyi,Forward,634.0,23.0,5.0,2.0,0.0,83.0,13.0,37.0,3.0,0.0,8.01,3.4,6.19,5.85,Rotación / impacto bajo,"T. Oluwaseyi (Villareal) aparece como rotación / impacto bajo, con índice total 5.85. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Héctor Fort,Defender,328.0,9.0,5.0,1.0,1.0,115.0,14.0,21.0,2.0,5.0,6.45,4.57,6.63,5.84,Rotación / impacto bajo,"Héctor Fort (Elche) aparece como rotación / impacto bajo, con índice total 5.84. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,C. Ngonge,Forward,292.0,6.0,4.0,0.0,2.0,95.0,18.0,24.0,3.0,3.0,6.83,4.35,6.4,5.83,Rotación / impacto bajo,"C. Ngonge (Espanyol) aparece como rotación / impacto bajo, con índice total 5.83. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,José Luis Morales,Forward,322.0,19.0,1.0,1.0,0.0,116.0,24.0,24.0,4.0,3.0,5.09,4.91,7.36,5.71,Rotación / impacto bajo,"José Luis Morales (Levante) aparece como rotación / impacto bajo, con índice total 5.71. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,U. Raghouber,Midfielder,456.0,9.0,5.0,0.0,0.0,213.0,23.0,39.0,5.0,7.0,0.63,5.38,11.62,5.59,Rotación / impacto bajo,"U. Raghouber (Levante) aparece como rotación / impacto bajo, con índice total 5.59. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Aritz Elustondo,Defender,413.0,11.0,4.0,0.0,0.0,223.0,16.0,22.0,4.0,6.0,1.1,6.38,9.88,5.58,Rotación / impacto bajo,"Aritz Elustondo (Real sociedad) aparece como rotación / impacto bajo, con índice total 5.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Kike Barja,Forward,310.0,20.0,2.0,1.0,2.0,80.0,8.0,18.0,2.0,1.0,8.71,3.83,3.96,5.58,Rotación / impacto bajo,"Kike Barja (Osasuna) aparece como rotación / impacto bajo, con índice total 5.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,J. Aidoo,Defender,549.0,7.0,6.0,0.0,0.0,310.0,23.0,18.0,3.0,8.0,0.12,5.83,11.62,5.57,Rotación / impacto bajo,"J. Aidoo (Celta) aparece como rotación / impacto bajo, con índice total 5.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,John Donald,Defender,450.0,14.0,5.0,1.0,0.0,205.0,25.0,24.0,8.0,4.0,2.34,5.16,9.75,5.55,Rotación / impacto bajo,"John Donald (Elche) aparece como rotación / impacto bajo, con índice total 5.55. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,C. Bakambu,Forward,427.0,15.0,4.0,3.0,0.0,73.0,7.0,20.0,2.0,1.0,9.34,2.79,4.3,5.54,Rotación / impacto bajo,"C. Bakambu (Betis) aparece como rotación / impacto bajo, con índice total 5.54. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,Toni Lato,Defender,468.0,9.0,6.0,0.0,1.0,160.0,19.0,17.0,7.0,5.0,3.35,4.95,8.74,5.53,Rotación / impacto bajo,"Toni Lato (Mallorca) aparece como rotación / impacto bajo, con índice total 5.53. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Alemão,Forward,788.0,18.0,8.0,1.0,0.0,136.0,11.0,35.0,1.0,1.0,6.41,4.3,5.9,5.52,Rotación / impacto bajo,"Alemão (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 5.52. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,A. Christensen,Defender,373.0,12.0,3.0,0.0,0.0,326.0,20.0,21.0,3.0,2.0,0.4,8.86,7.21,5.41,Rotación / impacto bajo,"A. Christensen (Barcelona) aparece como rotación / impacto bajo, con índice total 5.41. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,C. Pickel,Midfielder,544.0,17.0,4.0,1.0,0.0,193.0,23.0,28.0,4.0,4.0,3.34,4.65,8.58,5.37,Rotación / impacto bajo,"C. Pickel (Espanyol) aparece como rotación / impacto bajo, con índice total 5.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Luiz Felipe,Defender,470.0,10.0,7.0,0.0,0.0,254.0,12.0,22.0,8.0,8.0,0.89,4.59,11.39,5.34,Rotación / impacto bajo,"Luiz Felipe (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 5.34. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,A. Zakharyan,Midfielder,391.0,16.0,2.0,0.0,0.0,182.0,14.0,13.0,4.0,0.0,3.84,8.01,3.93,5.33,Rotación / impacto bajo,"A. Zakharyan (Real sociedad) aparece como rotación / impacto bajo, con índice total 5.33. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Álvaro Fidalgo,Midfielder,447.0,6.0,6.0,1.0,0.0,245.0,15.0,19.0,3.0,2.0,2.95,7.12,5.78,5.26,Rotación / impacto bajo,"Álvaro Fidalgo (Betis) aparece como rotación / impacto bajo, con índice total 5.26. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,Dani Raba,Forward,257.0,12.0,3.0,0.0,1.0,114.0,14.0,12.0,4.0,4.0,3.57,6.49,5.62,5.21,Rotación / impacto bajo,"Dani Raba (Valencia) aparece como rotación / impacto bajo, con índice total 5.21. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Davinchi,Defender,429.0,7.0,4.0,0.0,0.0,147.0,20.0,29.0,9.0,3.0,1.29,4.71,10.25,5.18,Rotación / impacto bajo,"Davinchi (Getafe) aparece como rotación / impacto bajo, con índice total 5.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Javi Muñoz,Midfielder,486.0,14.0,4.0,0.0,0.0,163.0,21.0,16.0,4.0,4.0,4.17,4.61,7.02,5.18,Rotación / impacto bajo,"Javi Muñoz (Getafe) aparece como rotación / impacto bajo, con índice total 5.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Nico Serrano,Forward,328.0,13.0,4.0,1.0,0.0,108.0,15.0,18.0,5.0,2.0,4.61,5.0,5.81,5.11,Rotación / impacto bajo,"Nico Serrano (Athletic Club) aparece como rotación / impacto bajo, con índice total 5.11. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,David López,Defender,479.0,7.0,5.0,0.0,0.0,186.0,10.0,21.0,3.0,5.0,0.42,5.17,10.47,5.1,Rotación / impacto bajo,"David López (Mallorca) aparece como rotación / impacto bajo, con índice total 5.10. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,C. Echeverri,Midfielder,260.0,9.0,1.0,1.0,0.0,123.0,17.0,23.0,4.0,0.0,4.08,5.91,5.23,5.07,Rotación / impacto bajo,"C. Echeverri (Girona) aparece como rotación / impacto bajo, con índice total 5.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Raúl Moro,Forward,340.0,7.0,4.0,0.0,2.0,97.0,13.0,16.0,0.0,0.0,6.84,5.14,2.83,5.05,Rotación / impacto bajo,"Raúl Moro (Osasuna) aparece como rotación / impacto bajo, con índice total 5.05. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Pablo García,Forward,378.0,15.0,2.0,0.0,0.0,96.0,23.0,24.0,5.0,4.0,3.23,4.17,7.9,4.96,Rotación / impacto bajo,"Pablo García (Betis) aparece como rotación / impacto bajo, con índice total 4.96. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,O. Óskarsson,Forward,310.0,13.0,2.0,4.0,0.0,56.0,7.0,15.0,3.0,1.0,8.72,2.04,3.93,4.94,Rotación / impacto bajo,"O. Óskarsson (Real sociedad) aparece como rotación / impacto bajo, con índice total 4.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,M. Kumbulla,Defender,420.0,7.0,5.0,0.0,0.0,287.0,14.0,20.0,1.0,2.0,0.46,8.79,5.42,4.86,Rotación / impacto bajo,"M. Kumbulla (Mallorca) aparece como rotación / impacto bajo, con índice total 4.86. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Coba da Costa,Forward,339.0,14.0,2.0,0.0,0.0,132.0,14.0,44.0,6.0,1.0,2.11,4.85,8.02,4.84,Rotación / impacto bajo,"Coba da Costa (Getafe) aparece como rotación / impacto bajo, con índice total 4.84. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,Alfon González,Forward,387.0,15.0,4.0,1.0,0.0,90.0,14.0,15.0,0.0,1.0,6.95,3.9,3.43,4.83,Rotación / impacto bajo,"Alfon González (Villareal) aparece como rotación / impacto bajo, con índice total 4.83. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,A. Januzaj,Midfielder,315.0,12.0,2.0,0.0,0.0,129.0,20.0,24.0,4.0,1.0,2.94,5.49,6.12,4.78,Rotación / impacto bajo,"A. Januzaj (Sevilla) aparece como rotación / impacto bajo, con índice total 4.78. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Y. Herrera,Midfielder,417.0,10.0,6.0,0.0,0.0,175.0,15.0,43.0,4.0,2.0,0.84,4.85,8.97,4.69,Rotación / impacto bajo,"Y. Herrera (Real sociedad) aparece como rotación / impacto bajo, con índice total 4.69. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,Y. Herrera,Midfielder,417.0,10.0,6.0,0.0,0.0,175.0,15.0,43.0,4.0,2.0,0.84,4.85,8.97,4.69,Rotación / impacto bajo,"Y. Herrera (Girona) aparece como rotación / impacto bajo, con índice total 4.69. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,A. Lookman,Forward,337.0,7.0,5.0,2.0,0.0,92.0,17.0,12.0,1.0,1.0,6.16,3.64,3.43,4.46,Rotación / impacto bajo,"A. Lookman (Atletico Madrid) aparece como rotación / impacto bajo, con índice total 4.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Asier Osambela,Midfielder,294.0,13.0,2.0,1.0,0.0,133.0,12.0,20.0,2.0,4.0,2.88,3.94,6.88,4.45,Rotación / impacto bajo,"Asier Osambela (Osasuna) aparece como rotación / impacto bajo, con índice total 4.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,I. Balliu,Defender,327.0,11.0,3.0,0.0,0.0,172.0,14.0,18.0,6.0,4.0,0.63,5.91,7.12,4.42,Rotación / impacto bajo,"I. Balliu (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 4.42. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Diego Pampín,Defender,367.0,6.0,4.0,0.0,0.0,176.0,18.0,20.0,5.0,4.0,0.92,4.63,8.04,4.35,Rotación / impacto bajo,"Diego Pampín (Levante) aparece como rotación / impacto bajo, con índice total 4.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Alfon González,Forward,367.0,14.0,4.0,1.0,0.0,83.0,13.0,15.0,0.0,1.0,6.6,2.95,3.34,4.35,Rotación / impacto bajo,"Alfon González (Sevilla) aparece como rotación / impacto bajo, con índice total 4.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Sergio Camello,Forward,469.0,15.0,4.0,0.0,0.0,128.0,19.0,21.0,2.0,2.0,4.1,3.78,5.26,4.34,Rotación / impacto bajo,"Sergio Camello (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 4.34. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Juan Cruz,Defender,601.0,14.0,7.0,0.0,0.0,218.0,15.0,12.0,3.0,3.0,0.51,6.22,6.6,4.33,Rotación / impacto bajo,"Juan Cruz (Osasuna) aparece como rotación / impacto bajo, con índice total 4.33. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Pau López,Goalkeeper,810.0,9.0,9.0,0.0,0.0,244.0,58.0,5.0,1.0,0.0,0.0,6.78,6.51,4.32,Rotación / impacto bajo,"Pau López (Betis) aparece como rotación / impacto bajo, con índice total 4.32. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,L. Bergström,Goalkeeper,450.0,5.0,5.0,0.0,0.0,145.0,47.0,5.0,0.0,0.0,0.0,7.17,5.91,4.28,Rotación / impacto bajo,"L. Bergström (Mallorca) aparece como rotación / impacto bajo, con índice total 4.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,D. Alaba,Defender,244.0,8.0,3.0,0.0,0.0,219.0,8.0,10.0,4.0,0.0,0.43,8.09,4.0,4.18,Rotación / impacto bajo,"D. Alaba (Real Madrid) aparece como rotación / impacto bajo, con índice total 4.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,C. Ávila,Forward,347.0,13.0,3.0,1.0,0.0,93.0,12.0,17.0,1.0,3.0,4.55,2.91,4.92,4.09,Rotación / impacto bajo,"C. Ávila (Betis) aparece como rotación / impacto bajo, con índice total 4.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Selton Sánchez,Midfielder,193.0,7.0,2.0,0.0,1.0,63.0,10.0,10.0,3.0,1.0,3.9,4.92,3.31,4.08,Rotación / impacto bajo,"Selton Sánchez (Athletic Club) aparece como rotación / impacto bajo, con índice total 4.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Paco Cortés,Forward,411.0,11.0,3.0,0.0,0.0,98.0,22.0,16.0,1.0,2.0,3.25,4.16,4.86,4.05,Rotación / impacto bajo,"Paco Cortés (Levante) aparece como rotación / impacto bajo, con índice total 4.05. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,Yoel Lago,Defender,337.0,5.0,4.0,0.0,0.0,201.0,6.0,16.0,4.0,4.0,0.4,5.02,7.06,4.01,Rotación / impacto bajo,"Yoel Lago (Celta) aparece como rotación / impacto bajo, con índice total 4.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,L. Cepeda,Forward,339.0,6.0,4.0,0.0,0.0,139.0,12.0,18.0,4.0,1.0,2.36,4.94,4.6,3.94,Rotación / impacto bajo,"L. Cepeda (Elche) aparece como rotación / impacto bajo, con índice total 3.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,J. Solís,Midfielder,374.0,12.0,3.0,0.0,0.0,164.0,20.0,15.0,3.0,4.0,1.14,4.36,6.65,3.92,Rotación / impacto bajo,"J. Solís (Girona) aparece como rotación / impacto bajo, con índice total 3.92. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,C. Stuani,Forward,216.0,13.0,1.0,3.0,0.0,36.0,3.0,20.0,3.0,1.0,7.07,0.6,3.81,3.83,Rotación / impacto bajo,"C. Stuani (Girona) aparece como rotación / impacto bajo, con índice total 3.83. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,T. Asano,Forward,479.0,15.0,6.0,1.0,0.0,80.0,18.0,22.0,2.0,1.0,3.74,2.68,5.06,3.76,Rotación / impacto bajo,"T. Asano (Mallorca) aparece como rotación / impacto bajo, con índice total 3.76. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,C. Uche,Midfielder,270.0,3.0,3.0,1.0,1.0,43.0,7.0,24.0,2.0,0.0,5.79,1.48,3.75,3.67,Rotación / impacto bajo,"C. Uche (Getafe) aparece como rotación / impacto bajo, con índice total 3.67. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,G. Raspadori,Forward,226.0,12.0,1.0,0.0,1.0,91.0,13.0,13.0,1.0,0.0,5.59,2.21,2.81,3.57,Rotación / impacto bajo,"G. Raspadori (Atletico Madrid) aparece como rotación / impacto bajo, con índice total 3.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,G. Koyalipou,Forward,239.0,11.0,2.0,1.0,0.0,54.0,10.0,21.0,3.0,1.0,3.9,2.23,4.68,3.55,Rotación / impacto bajo,"G. Koyalipou (Levante) aparece como rotación / impacto bajo, con índice total 3.55. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,A. Nyom,Defender,289.0,11.0,4.0,0.0,0.0,105.0,13.0,20.0,5.0,1.0,1.06,3.62,6.34,3.54,Rotación / impacto bajo,"A. Nyom (Getafe) aparece como rotación / impacto bajo, con índice total 3.54. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,C. Protesoni,Midfielder,240.0,9.0,3.0,0.0,0.0,111.0,3.0,15.0,5.0,2.0,1.43,3.96,5.35,3.49,Rotación / impacto bajo,"C. Protesoni (Alaves) aparece como rotación / impacto bajo, con índice total 3.49. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Thiago Pitarch,Midfielder,290.0,5.0,4.0,0.0,0.0,190.0,11.0,7.0,2.0,3.0,0.95,5.24,3.74,3.29,Rotación / impacto bajo,"Thiago Pitarch (Real Madrid) aparece como rotación / impacto bajo, con índice total 3.29. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,M. Ristić,Defender,255.0,4.0,4.0,0.0,0.0,143.0,20.0,9.0,0.0,2.0,0.51,5.25,4.07,3.24,Rotación / impacto bajo,"M. Ristić (Celta) aparece como rotación / impacto bajo, con índice total 3.24. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,Yeremy Pino,Midfielder,160.0,2.0,2.0,0.0,1.0,88.0,4.0,2.0,1.0,2.0,4.52,3.05,1.94,3.23,Rotación / impacto bajo,"Yeremy Pino (Villareal) aparece como rotación / impacto bajo, con índice total 3.23. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,F. Redondo,Midfielder,171.0,11.0,1.0,0.0,0.0,135.0,9.0,13.0,3.0,5.0,0.28,3.52,5.85,3.09,Rotación / impacto bajo,"F. Redondo (Elche) aparece como rotación / impacto bajo, con índice total 3.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Oviedo,O. Ejaria,Forward,177.0,7.0,2.0,0.0,0.0,94.0,7.0,17.0,3.0,2.0,1.01,4.02,4.4,3.08,Rotación / impacto bajo,"O. Ejaria (Oviedo) aparece como rotación / impacto bajo, con índice total 3.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,Portu,Forward,473.0,10.0,4.0,0.0,0.0,78.0,11.0,12.0,1.0,2.0,3.83,2.0,3.35,3.04,Rotación / impacto bajo,"Portu (Girona) aparece como rotación / impacto bajo, con índice total 3.04. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,Miguel Rubio,Defender,197.0,11.0,1.0,1.0,0.0,73.0,7.0,20.0,1.0,1.0,2.09,1.76,5.64,3.04,Rotación / impacto bajo,"Miguel Rubio (Espanyol) aparece como rotación / impacto bajo, con índice total 3.04. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,N. Maupay,Forward,454.0,6.0,5.0,1.0,0.0,94.0,11.0,16.0,1.0,1.0,2.88,2.77,3.37,2.99,Rotación / impacto bajo,"N. Maupay (Sevilla) aparece como rotación / impacto bajo, con índice total 2.99. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,M. Sannadi,Forward,273.0,9.0,2.0,1.0,0.0,66.0,6.0,16.0,1.0,1.0,4.0,1.79,3.08,2.95,Rotación / impacto bajo,"M. Sannadi (Athletic Club) aparece como rotación / impacto bajo, con índice total 2.95. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Fábio Cardoso,Defender,298.0,4.0,4.0,0.0,0.0,141.0,8.0,13.0,3.0,3.0,0.18,2.86,6.08,2.89,Rotación / impacto bajo,"Fábio Cardoso (Sevilla) aparece como rotación / impacto bajo, con índice total 2.89. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,D. Lukébakio,Forward,180.0,2.0,2.0,1.0,0.0,72.0,3.0,4.0,0.0,1.0,4.16,3.12,1.09,2.88,Rotación / impacto bajo,"D. Lukébakio (Sevilla) aparece como rotación / impacto bajo, con índice total 2.88. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,M. Solomon,Forward,146.0,6.0,1.0,1.0,1.0,49.0,10.0,9.0,1.0,0.0,4.64,1.79,2.09,2.87,Rotación / impacto bajo,"M. Solomon (Villareal) aparece como rotación / impacto bajo, con índice total 2.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Carlos Martín,Forward,312.0,7.0,5.0,0.0,0.0,81.0,15.0,20.0,4.0,0.0,1.25,2.79,4.85,2.87,Rotación / impacto bajo,"Carlos Martín (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 2.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,Carlos Martín,Forward,312.0,7.0,5.0,0.0,0.0,81.0,15.0,20.0,4.0,0.0,1.25,2.79,4.85,2.87,Rotación / impacto bajo,"Carlos Martín (Atletico Madrid) aparece como rotación / impacto bajo, con índice total 2.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,David López,Defender,203.0,4.0,2.0,0.0,0.0,173.0,9.0,6.0,1.0,0.0,0.49,5.89,2.03,2.84,Rotación / impacto bajo,"David López (Girona) aparece como rotación / impacto bajo, con índice total 2.84. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,W. Szczęsny,Goalkeeper,540.0,6.0,6.0,0.0,0.0,185.0,48.0,0.0,0.0,0.0,0.0,3.57,4.96,2.74,Rotación / impacto bajo,"W. Szczęsny (Barcelona) aparece como rotación / impacto bajo, con índice total 2.74. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Iker Benito,Forward,147.0,5.0,1.0,1.0,0.0,75.0,10.0,6.0,0.0,2.0,2.42,2.8,2.74,2.65,Rotación / impacto bajo,"Iker Benito (Osasuna) aparece como rotación / impacto bajo, con índice total 2.65. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,José Salinas,Defender,234.0,10.0,2.0,0.0,0.0,108.0,9.0,12.0,2.0,2.0,0.95,3.15,3.92,2.61,Rotación / impacto bajo,"José Salinas (Espanyol) aparece como rotación / impacto bajo, con índice total 2.61. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Yago Santiago,Forward,278.0,9.0,3.0,0.0,0.0,104.0,12.0,10.0,1.0,1.0,1.1,3.46,3.2,2.56,Rotación / impacto bajo,"Yago Santiago (Elche) aparece como rotación / impacto bajo, con índice total 2.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,S. Boselli,Defender,217.0,7.0,2.0,0.0,0.0,45.0,10.0,13.0,7.0,0.0,0.77,1.74,5.58,2.55,Rotación / impacto bajo,"S. Boselli (Getafe) aparece como rotación / impacto bajo, con índice total 2.55. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Buba Sangaré,Defender,199.0,5.0,3.0,0.0,0.0,69.0,7.0,16.0,5.0,4.0,0.28,1.91,5.8,2.51,Rotación / impacto bajo,"Buba Sangaré (Elche) aparece como rotación / impacto bajo, con índice total 2.51. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Jorge Cabello,Defender,364.0,5.0,4.0,0.0,0.0,123.0,5.0,18.0,4.0,0.0,0.0,2.56,5.3,2.49,Rotación / impacto bajo,"Jorge Cabello (Levante) aparece como rotación / impacto bajo, con índice total 2.49. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,Marc Domenech,Forward,211.0,7.0,2.0,0.0,1.0,32.0,9.0,9.0,2.0,0.0,3.14,0.95,2.66,2.23,Rotación / impacto bajo,"Marc Domenech (Mallorca) aparece como rotación / impacto bajo, con índice total 2.23. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,Zito Luvumbo,Forward,219.0,5.0,2.0,0.0,0.0,31.0,3.0,15.0,0.0,0.0,2.91,2.01,1.69,2.23,Rotación / impacto bajo,"Zito Luvumbo (Mallorca) aparece como rotación / impacto bajo, con índice total 2.23. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,O. Vargas,Midfielder,217.0,4.0,2.0,0.0,0.0,90.0,4.0,13.0,6.0,1.0,0.4,2.33,4.19,2.21,Rotación / impacto bajo,"O. Vargas (Atletico Madrid) aparece como rotación / impacto bajo, con índice total 2.21. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,A. El Mokhtari,Forward,98.0,7.0,0.0,1.0,0.0,39.0,3.0,9.0,2.0,1.0,2.85,1.23,2.58,2.2,Rotación / impacto bajo,"A. El Mokhtari (Elche) aparece como rotación / impacto bajo, con índice total 2.20. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,J. Vertrouwd,Defender,270.0,7.0,1.0,0.0,0.0,148.0,7.0,6.0,2.0,3.0,0.63,1.99,4.26,2.19,Rotación / impacto bajo,"J. Vertrouwd (Rayo Vallecano) aparece como rotación / impacto bajo, con índice total 2.19. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,A. Kamara,Forward,190.0,9.0,1.0,0.0,0.0,61.0,6.0,11.0,2.0,2.0,1.41,2.12,3.16,2.18,Rotación / impacto bajo,"A. Kamara (Getafe) aparece como rotación / impacto bajo, con índice total 2.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Ø. Nyland,Goalkeeper,360.0,4.0,4.0,0.0,0.0,117.0,29.0,1.0,0.0,0.0,0.0,3.58,3.06,2.17,Rotación / impacto bajo,"Ø. Nyland (Sevilla) aparece como rotación / impacto bajo, con índice total 2.17. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Urko Izeta,Forward,162.0,11.0,1.0,0.0,0.0,56.0,11.0,6.0,0.0,0.0,2.7,2.19,1.54,2.17,Rotación / impacto bajo,"Urko Izeta (Athletic Club) aparece como rotación / impacto bajo, con índice total 2.17. Su perfil permite valorar impacto individual dentro del modelo colectivo."
