equipo,position,id,shirtNumber,firstName,lastName,matchName,knownName,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Games Played,Ground Duels,Ground Duels lost,Leftside Passes,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Passes Own Half,Successful Short Passes,Time Played,Times Tackled,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels lost,Blocked Shots,Blocks,Clean Sheets,Clearances Off the Line,Corners Won,Final Third Touches,Foul Attempted Tackle,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Offsides,Overruns,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Passes Opposition Half,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Big Chances Missed,Total Big Chances Scored,Total Clearances,Total Fouls Won,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Yellow Cards,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Direct Setpiece Goals,Goal Assists,Goals Openplay,Goals from Outside Box,Handballs conceded,Right Foot Goals,Set Pieces Goals,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful lay-offs,GK Successful Distribution,Goal Kicks,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Hit Woodwork,Left Foot Goals,Foul Won Penalty,Second Goal Assists,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried
Real Sociedad,Midfielder,2mp4gv88fp9zepmieq3j52hhw,36,Alex Douma Johan,Lebarbier,A. Lebarbier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,1bcd2ijk9xkf7mmoqmsfpxzbo,40,Alex,Marchal García,Alex Marchal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,66l9n4gqc4aau3bpc0qtpta8k,34,Arkaitz,Mariezkurrena Etxezarreta,Arkaitz Mariezkurrena,,,,1.0,,,2.0,2.0,,,1.0,2.0,2.0,,,1.0,,,,1.0,,2.0,,,,,2.0,,,,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Goalkeeper,b2xlrg9xvucrut2fhmvsgjuqy,13,Unai,Marrero Larrañaga,Unai Marrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,8krgbfnydbtyongkwnsaj43kk,31,Jon,Martín Vicente,Jon Martín,,93.0,60.0,19.0,44.0,323.0,157.0,58.0,99.0,342.0,19.0,64.0,25.0,401.0,976.0,,891.0,626.0,893.0,1710.0,11.0,14.0,113.0,1002.0,915.0,87.0,1275.0,61.0,26.0,64.0,1.0,33.0,3.0,21.0,1.0,2.0,1.0,36.0,6.0,1.0,32.0,30.0,2.0,1.0,39.0,1.0,31.0,2.0,,,,1.0,5.0,156.0,13.0,7.0,58.0,215.0,2.0,7.0,4.0,19.0,,,,7.0,5.0,22.0,289.0,12.0,11.0,,,1.0,4.0,1.0,109.0,9.0,11.0,23.0,16.0,,,4.0,11.0,23.0,5.0,1.0,0.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,aka2yqxmqpioxc1qzkl62ejv8,15,Pablo,Marín Tejada,Pablo Marín,,23.0,5.0,26.0,83.0,88.0,129.0,82.0,47.0,73.0,26.0,106.0,64.0,74.0,298.0,14.0,238.0,98.0,236.0,1124.0,41.0,17.0,147.0,302.0,242.0,60.0,514.0,45.0,23.0,50.0,0.0,18.0,5.0,1.0,,,6.0,178.0,9.0,,25.0,24.0,1.0,,42.0,,5.0,6.0,,2.0,3.0,,3.0,54.0,18.0,7.0,43.0,72.0,7.0,3.0,4.0,12.0,9.0,3.0,3.0,13.0,1.0,6.0,147.0,3.0,11.0,2.0,,6.0,2.0,,11.0,15.0,7.0,14.0,20.0,8.0,8.0,23.0,6.0,10.0,1.0,,,1.0,,,,1.0,,,1.0,,,,14.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,bj929w5yi7lnz36jxsi5qnq7e,3,Aihen,Muñoz Capellán,Aihen Muñoz,,12.0,7.0,16.0,44.0,46.0,69.0,34.0,35.0,103.0,16.0,57.0,29.0,27.0,243.0,9.0,203.0,101.0,196.0,681.0,8.0,6.0,88.0,246.0,205.0,41.0,422.0,35.0,19.0,23.0,0.0,5.0,,,,,3.0,111.0,3.0,,14.0,14.0,,,28.0,,5.0,4.0,,,,,2.0,31.0,12.0,6.0,24.0,72.0,4.0,4.0,1.0,7.0,4.0,5.0,5.0,2.0,1.0,9.0,109.0,10.0,15.0,1.0,15.0,37.0,1.0,,27.0,3.0,5.0,25.0,5.0,13.0,13.0,6.0,10.0,18.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,dvrk8qmt9ta4c3kvjgsad7t91,23,Brais,Méndez Portela,Brais Méndez,,42.0,24.0,26.0,190.0,176.0,198.0,100.0,98.0,230.0,26.0,156.0,82.0,212.0,728.0,8.0,584.0,241.0,593.0,1505.0,39.0,40.0,287.0,777.0,630.0,147.0,1114.0,164.0,29.0,121.0,0.0,18.0,9.0,3.0,,1.0,15.0,390.0,21.0,6.0,22.0,20.0,2.0,6.0,74.0,,5.0,21.0,,6.0,2.0,,2.0,84.0,42.0,14.0,75.0,145.0,23.0,7.0,15.0,18.0,15.0,14.0,4.0,19.0,,37.0,403.0,13.0,17.0,5.0,,4.0,3.0,3.0,9.0,26.0,22.0,30.0,49.0,46.0,21.0,23.0,12.0,26.0,5.0,3.0,3.0,1.0,3.0,28.0,,2.0,5.0,,2.0,,,7.0,27.0,5.0,17.0,,,,1.0,,1.0,,6.0,,,1.0,1.0,,,,,,,,,,,,
Real Sociedad,Forward,1fcmd6qaiira468e8mph4sis4,47,Job,Nguono Ochieng,J. Ochieng,,1.0,,1.0,2.0,5.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,6.0,12.0,1.0,9.0,3.0,8.0,25.0,2.0,,9.0,12.0,9.0,3.0,22.0,3.0,1.0,3.0,0.0,1.0,,,,,,10.0,,,,,,,1.0,,,2.0,,,,,,5.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,1.0,6.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,5nluxvc0wi0u1d5zcy7be5rkl,20,Álvaro,Odriozola Arzallus,Álvaro Odriozola,,2.0,1.0,5.0,7.0,12.0,15.0,6.0,9.0,11.0,5.0,13.0,5.0,10.0,28.0,3.0,24.0,7.0,21.0,202.0,3.0,1.0,15.0,28.0,24.0,4.0,71.0,3.0,2.0,4.0,0.0,1.0,,2.0,,,,20.0,1.0,1.0,4.0,4.0,,1.0,8.0,,1.0,3.0,,,,,,8.0,3.0,2.0,2.0,,3.0,,1.0,2.0,3.0,2.0,2.0,,1.0,3.0,19.0,4.0,1.0,,4.0,11.0,,1.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,,,,0.0,1.0,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
